state,2017,2018,2019,2020,2021,2022
ALABAMA,4891.628,4891.628,4907.965,5073.903,5050.38,5050.38
ALASKA,736.624,736.624,733.603,733.276,734.923,734.923
ARIZONA,7164.228,7164.228,7291.843,7365.684,7272.487,7272.487
ARKANSAS,3012.161,3012.161,3020.985,3046.404,3028.443,3028.443
CALIFORNIA,39437.463,39437.463,39437.61,39040.616,39145.06,39145.06
COLORADO,5697.155,5697.155,5758.486,5841.039,5811.596,5811.596
CONNECTICUT,3574.561,3574.561,3566.022,3608.706,3603.691,3603.691
DELAWARE,966.985,966.985,976.668,1019.459,1004.881,1004.881
FLORIDA,21254.926,21254.926,21492.056,22245.521,21830.708,21830.708
GEORGIA,10519.389,10519.389,10628.02,10913.15,10790.385,10790.385
HAWAII,1423.102,1423.102,1415.615,1439.399,1446.745,1446.745
IDAHO,1752.074,1752.074,1789.06,1938.996,1904.537,1904.537
ILLINOIS,12724.685,12724.685,12667.017,12582.515,12690.341,12690.341
INDIANA,6698.481,6698.481,6731.01,6832.274,6813.798,6813.798
IOWA,3149.9,3149.9,3159.596,3199.693,3197.944,3197.944
KANSAS,2912.748,2912.748,2912.635,2936.716,2937.946,2937.946
KENTUCKY,4464.273,4464.273,4472.345,4511.563,4507.6,4507.6
LOUISIANA,4664.45,4664.45,4658.285,4588.023,4627.047,4627.047
MAINE,1340.123,1340.123,1345.77,1389.338,1378.787,1378.787
MARYLAND,6042.153,6042.153,6054.954,6163.981,6175.045,6175.045
MASSACHUSETTS,6885.72,6885.72,6894.883,6982.74,6991.951,6991.951
MICHIGAN,9987.286,9987.286,9984.795,10033.281,10038.117,10038.117
MINNESOTA,5608.762,5608.762,5640.053,5714.3,5717.968,5717.968
MISSISSIPPI,2982.879,2982.879,2978.227,2938.928,2949.582,2949.582
MISSOURI,6125.986,6125.986,6140.475,6177.168,6170.393,6170.393
MONTANA,1061.818,1061.818,1070.123,1122.878,1106.366,1106.366
NEBRASKA,1925.512,1925.512,1932.571,1968.06,1964.253,1964.253
NEVADA,3030.725,3030.725,3090.771,3177.421,3146.632,3146.632
NEW HAMPSHIRE,1355.064,1355.064,1360.783,1399.003,1387.494,1387.494
NEW JERSEY,8891.73,8891.73,8891.258,9260.817,9269.175,9269.175
NEW MEXICO,2093.754,2093.754,2099.634,2113.476,2116.95,2116.95
NEW YORK,19544.098,19544.098,19463.131,19673.2,19854.526,19854.526
NORTH CAROLINA,10391.358,10391.358,10501.384,10695.965,10567.1,10567.1
NORTH DAKOTA,760.062,760.062,763.724,778.912,777.982,777.982
OHIO,11680.892,11680.892,11696.507,11759.697,11765.227,11765.227
OKLAHOMA,3943.488,3943.488,3960.676,4019.271,3991.634,3991.634
OREGON,4183.538,4183.538,4216.116,4239.379,4256.465,4256.465
PENNSYLVANIA,12809.107,12809.107,12798.883,12972.091,13013.614,13013.614
RHODE ISLAND,1059.338,1059.338,1058.158,1093.842,1097.092,1097.092
SOUTH CAROLINA,5091.702,5091.702,5157.702,5282.955,5193.848,5193.848
SOUTH DAKOTA,879.386,879.386,887.127,909.869,896.299,896.299
TENNESSEE,6778.18,6778.18,6830.325,7048.976,6963.709,6963.709
TEXAS,28624.564,28624.564,28986.794,30029.848,29561.286,29561.286
UTAH,3155.153,3155.153,3203.383,3381.236,3339.284,3339.284
VERMONT,624.802,624.802,624.046,647.11,647.093,647.093
VIRGINIA,8510.92,8510.92,8556.642,8679.099,8657.348,8657.348
WASHINGTON,7526.793,7526.793,7614.024,7784.477,7741.433,7741.433
WEST VIRGINIA,1805.953,1805.953,1795.263,1774.035,1785.249,1785.249
WISCONSIN,5809.319,5809.319,5824.581,5890.543,5879.978,5879.978
WYOMING,579.054,579.054,580.116,581.629,579.548,579.548
DISTRICT OF COLUMBIA,704.147,704.147,708.253,670.949,669.037,669.037
